,word,synonyms
0, girl ,"female child, young person, youngster, teenager, adolescent, young woman, young lady"
1, woman ,"lady, adult female, female"
2, boy ,"male child, youngster, youth, lad, young man, young fellow, young person, teenager, adolescent"
3, man ,"male, adult male, gentleman"
4,female,"woman, lady, girl"
5, standard ,"quality, level, grade, degree, worth, calibre, merit, excellence"
6, education ,"teaching, schooling, tuition, tutoring, instruction, pedagogy, andragogy, coaching, training, tutelage, drilling, preparation, guidance, indoctrination, inculcation"
7, male ,"masculine, ""mens"", of men, he-"
8, learning ,"study, studying, education, schooling, tuition, teaching, academic work, instruction, training"
9, integrity ,"honesty, uprightness, probity, rectitude, honour, honourableness, upstandingness, good character, principle, principles, ethics, morals, righteousness, morality, nobility"
10, rigour ,"meticulousness, thoroughness, carefulness, attention to detail, diligence, scrupulousness, exactness, exactitude, precision, accuracy, correctness, strictness, punctiliousness, conscientiousness"
11,rigor,"meticulousness, thoroughness, carefulness, attention to detail, diligence, scrupulousness, exactness, exactitude, precision, accuracy, correctness, strictness, punctiliousness, conscientiousness"
12, academic ,"educational, scholastic, instructional, pedagogical, scholarly, studious, literary, well read, intellectual, clever, erudite, learned, educated, cultured, bookish"
13, testing ,"examining, trying"
14,online,"elearning, e-learning, on-line, web-based"
15,on-line,"elearning, e-learning, online, web-based"
16,elearning,"online learning, on-line learning, online education, on-line education, e-learning, web-based learning, technology based, electronic learning, "
17,e-learning,"online learning, on-line learning, online education, on-line education, elearning, web-based learning, technology based, electronic learning, "
18,dishonesty,"deceit, deception, duplicity, lying, falseness, falsity, falsehood, untruthfulness"
19,academic dishonesty,"cheating, plagerism"
20,correlation,"connection, association, link, tie-in, tie-up, relation, relationship, interrelationship, interdependence, interconnection, interaction"
21,positive,"affirmative, yes"
22,impeachment,"challenge, question, indict, charge, accuse, arraign, prosecute"
23,school violence,"bullying, cyberbullying, school shooting"
24,bullying,"cyberbullying, harassment, aggression"
25,cyberbullying,bullying
26,harassment,"persecution, harrying, pestering, badgering, intimidation, bother, annoyance, aggravation, irritation, pressure, pressurization, force, coercion, molestation"
27,coercion,"force, compulsion, constraint, duress, oppression, enforcement, harassment, intimidation, threats, insistence, demand, arm-twisting, pressure, pressurization, influence"
28,lying,"deception, dishonest, dishonesty, obfuscation, perjure, perjury"
29,obstruction,"block, prevent, obfuscate, prevent, delay"
30,contempt,"scorn, disdain, disrespect, deprecation, disparagement, denigration, opprobrium, odium, obloquy, scornfulness"
31,violate,"contravene, breach, commit a breach of, infringe, infract, break, transgress, overstep, not comply with, disobey, defy, flout, fly in the face of, rebel against"
32,rape,"sexual assault, sexual abuse"
33,sexual assault,"rape, sexual abuse"
34,social media,
35,civil,"secular, non-religious, lay, non-military, civilian"
36,society,"the community, the public, the general public, the people, the population"
37,youth violence,juvenile crime
38,blacks,"african-americans, negros"
39,african-americans,"blacks, negros"
40,grades,
41,achievement,"attainment, reaching, gaining, winning, acquirement, procurement, accomplishment, attainment, feat, performance, undertaking, act, action, deed, effort"
42,shooting,
43,stabbing,"agonizing, extremely painful, severe, acute, intense, extreme, savage, violent, racking, searing, piercing, stabbing, raging, harrowing, tormenting"
44,weapon,"firearm, gun, knife, club, blunt object"
45,weapons,"firearms, guns, knives, blunt objects"
46,gun,"firearm, weapon, pistol, rifle, assault rifle, shotgun, AR-15, AK"
47,guns,"firearms, weapons, pistols, rifles, assault rifles, shotguns, AR-15s, Aks"
48,firearm,"gun, weapon, rifle, shotgun, pistol, assault rifle, AR, AK"
49,justified,"valid, sound, well founded, well grounded, justified, justifiable, warranted, warrantable, defensible, defendable, legitimate, reasonable, logical"
50,unjustified,"irrational, unreasonable, unsound, unreasoned, unfounded, groundless, unjustifiable, unjustified"
51,jurisdiction,"authority, control, power, dominion, rule, administration, command, sway, leadership, sovereignty, ascendancy, hegemony, mastery"
52,control,"jurisdiction, sway, power, authority, command, dominance, domination, government, mastery, leadership, rule, reign, sovereignty, supremacy, ascendancy"
53,internet,
54,expose,"reveal, uncover, lay bare, bare, leave unprotected"
55,literacy,"ability to read and write, reading ability, writing ability, reading proficiency, writing proficiency"
56,age,"number of years, lifetime, duration, length of life"
57,life,"existence, being, living, animation, aliveness, animateness"
58,prevent,"stop, put a stop to, avert, nip in the bud, fend off, turn aside, stave off, ward off, head off, shut out, block, intercept, halt, arrest, check"
59,adhere,"stick, stick fast, cling, hold fast, cohere, bond, attach"
60,judge,"justice, magistrate, Her Honour, His Honour, Your Honour"
61,lawyer,"legal practitioner, attorney, legal officer, legal adviser, legal representative, legal executive, agent, member of the bar"
62,money,"cash, hard cash, ready money"
63,defamation,"libel, slander, character assassination, defamation of character, calumny, vilification, traducement, obloquy, scandal, scandalmongering, malicious gossip, tittle-tattle, backbiting, aspersions, muckraking"
64,correlation,"connection, association, link, tie-in, tie-up, relation, relationship, interrelationship, interdependence, interconnection, interaction"
65,methodology,"course of action, line of action, plan of action, policy, series of steps, plan, method, system, strategy, stratagem, way, approach, formula, mechanism, methodology"
66,violence,"brutality, brute force, roughness, ferocity, fierceness, savagery, cruelty, sadism, barbarity, barbarousness, brutishness, murderousness, bloodthirstiness, ruthlessness, inhumanity"
67,active shooter,
68,explosive,"volatile, inflammable, flammable, combustible, incendiary, eruptive, unstable"
69,oppression,"persecution, abuse, maltreatment, ill treatment, tyranny, despotism, repression, suppression, subjection, subjugation, enslavement, exploitation"
70,oppressive,"harsh, cruel, brutal, repressive, crushing, tyrannical, tyrannous, iron-fisted, domineering, autocratic, dictatorial, undemocratic, anti-democratic, despotic, draconian"
71,harsh,"grating, jarring, grinding, rasping, raspy, strident, raucous, brassy, jangling, metallic, ear-piercing, discordant, dissonant, disagreeable, unharmonious"
72,illegal,"unlawful, illicit, illegitimate, against the law, criminal, lawbreaking, actionable, felonious, foul, against the rules"
73,intentionally,"deliberately, on purpose, purposely, purposefully, by design, knowingly, wittingly, consciously"
74,deliberately,"intentionally, on purpose, purposely, by design, knowingly, wittingly, consciously, purposefully, carefully, unhurriedly, steadily, evenly, measuredly"
75,knowingly,"deliberately, intentionally, consciously, wittingly, with full knowledge, in full awareness, ""with ones eyes open"", on purpose, by design, calculatedly, premeditatedly, studiedly, wilfully, purposefully, willingly"
77,female child,
78,young person,
79,youngster,"young person, child, young adult, young man, young woman, youth, juvenile, teenager, adolescent, teen, junior, stripling, whippersnapper, young one, little one"
80,teenager,"adolescent, youth, young person, boy, girl, minor, juvenile"
81,adolescent,"teenage, teenaged, pubescent, youthful, young, juvenile"
82,young woman,
83,young lady,"youngster, young one, little one, boy, girl"
84,lady,"woman, adult female, female, girl"
85,adult female,
86,male child,
